first_author,pub_year,paper_id, doi_or_link,journal,discipline,discipline_category,institution_name,institution_type,computer_based_utme,data_collection_year,prop_female,n,rxY,sd_utme,grade_type,ave_rxyj,ave_ryiyj,k_grades,notes
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Political Science and International Relations,Social Science,Private University in Nigeria,university,no,2005-2014,0.532,588,0.263,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Sociology,Social Science,Private University in Nigeria,university,no,2005-2014,0.532,193,0.287,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Psychology,Social Science,Private University in Nigeria,university,no,2005-2014,0.532,174,0.199,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Architecture,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,312,0.287,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Computer and Information Science,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,896,0.238,NA,cumulative,NA,NA,5,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Electrical and Information Engineering,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,1108,0.334,NA,cumulative,NA,NA,5,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Estate Management,Business and Economics,Private University in Nigeria,university,no,2005-2014,0.532,140,0.024,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Physics,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,148,0.138,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Chemical Engineering,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,178,0.257,NA,cumulative,NA,NA,5,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Biology,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,324,0.12,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Petroleum Engineering,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,153,0.35,NA,cumulative,NA,NA,5,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Chemistry,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,98,0.002,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Civil Engineering,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,130,0.078,NA,cumulative,NA,NA,5,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Mechanical Engineering,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,139,0.232,NA,cumulative,NA,NA,5,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Building Technology,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,85,0.092,NA,cumulative,NA,NA,4,NA
odukoya,2018a,4,https://journals.covenantuniversity.edu.ng/index.php/cijp/article/view/973,Covenant International Journal of Psychology,Mathematics,"Math, Science, and Engineering",Private University in Nigeria,university,no,2005-2014,0.532,56,0.197,NA,cumulative,NA,NA,4,NA
ojong,2018,5,https://www.researchgate.net/profile/Judith-Ari-Tano/publication/372482377_Predictive_Validity_of_Entry_Requirements_on_First_Year_Students_Grade_Point_Average_of_University_of_Calabar_Nigeria/links/64b970fb8de7ed28baaf6132/Predictive-Validity-of-Entry-Requirements-on-First-Year-Students-Grade-Point-Average-of-University-of-Calabar-Nigeria.pdf,Education for Today,Management Science,"Math, Science, and Engineering",University of Calabar,university,yes,2016,NA,659,0.066,NA,first year,NA,NA,1,NA
